trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,mcc_all_awake,acc_all_awake,prec_all_awake,rec_all_awake,f1_all_awake,mcc_all_sleep,acc_all_sleep,prec_all_sleep,rec_all_sleep,f1_all_sleep,mcc_is_transition,acc_is_transition,prec_is_transition,rec_is_transition,f1_is_transition,MAE_percentage_y,MSE_percentage_y,r2_percentage_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.main_weight,config.cnn_layers,config.cnn_kernel_size
1c480_00000,0.33835408091545105,0.5798660516738892,0.8529585599899292,0.8786298036575317,0.934343159198761,0.8472506999969482,0.5365146398544312,0.9025567770004272,0.6673330068588257,0.52173912525177,0.8973860740661621,0.5868778824806213,0.7938812971115112,0.774296224117279,0.8683934211730957,0.7920136451721191,0.4435689151287079,0.7652849555015564,0.6994212865829468,0.5149403214454651,0.7546844482421875,0.17705953121185303,0.07025576382875443,0.49131640791893005,47.72567582130432,True,,,30,e133d6917d2f4852a72a6abe38855b19,2021-11-06_01-55-36,1636152936,1448.1992535591125,307854,crimv3mgpu024,10.141.0.30,1448.1992535591125,0,30,"0_batch_size=1024,bidirectional=True,cnn_kernel_size=2,cnn_layers=1,dropout_lin=0.024244,dropout_lstm=0.007886,hidden_dim=8,learning_rate=0.0022065,lstm_layers=2,lstm_output_dim=58,main_weight=0.36021,opt_step_size=11",0.0022065408810018837,1024,True,2,8,58,0.007885953237418586,0.024244364659225637,11,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.36021052850530344,1,2
1c480_00001,0.4061278998851776,0.0,0.7551309466362,0.7551309466362,1.0,0.6497780084609985,0.0,0.8680254817008972,0.0,0.0,0.8067002296447754,0.5452743768692017,0.7738451361656189,0.7610816955566406,0.8422645926475525,0.7721549272537231,0.21698005497455597,0.6950692534446716,0.7993435263633728,0.10992918908596039,0.6064082980155945,0.2500801980495453,0.09941914677619934,0.28016024827957153,43.89089822769165,True,,,16,51b9365bb8ef4e33b5a4dbcd7b25ada5,2021-11-06_02-08-57,1636153737,795.2877323627472,307862,crimv3mgpu024,10.141.0.30,795.2877323627472,0,16,"1_batch_size=512,bidirectional=True,cnn_kernel_size=9,cnn_layers=0,dropout_lin=0.70716,dropout_lstm=0.17468,hidden_dim=16,learning_rate=0.0070159,lstm_layers=1,lstm_output_dim=89,main_weight=0.20338,opt_step_size=14",0.007015906783164012,512,True,1,16,89,0.1746793833083118,0.7071579507343844,14,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.2033765527687953,0,9
1c480_00002,0.38100820779800415,0.5293620824813843,0.835360050201416,0.8685713410377502,0.921393096446991,0.8292714357376099,0.4539325535297394,0.8915026783943176,0.640170156955719,0.4062233567237854,0.8808404207229614,0.5295310020446777,0.7614221572875977,0.7244426608085632,0.895169734954834,0.7552239298820496,0.12543848156929016,0.6777520179748535,0.652260422706604,0.0647272914648056,0.5752208232879639,0.2259659618139267,0.08208106458187103,0.4056958854198456,275.5151090621948,True,,,30,05396a8e33a4455496fd51158ad3f026,2021-11-06_04-27-55,1636162075,8330.599371910095,307856,crimv3mgpu024,10.141.0.30,8330.599371910095,0,30,"2_batch_size=128,bidirectional=True,cnn_kernel_size=4,cnn_layers=0,dropout_lin=0.19936,dropout_lstm=0.03818,hidden_dim=128,learning_rate=3.807e-06,lstm_layers=2,lstm_output_dim=14,main_weight=0.4741,opt_step_size=4",3.806963475220835e-06,128,True,2,128,14,0.03818005929752999,0.1993632897680746,4,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.4740993534694864,0,4
1c480_00003,0.5434688925743103,0.0,0.7551309466362,0.7551309466362,1.0,0.6497780084609985,0.0,0.868025541305542,0.0,0.0,0.8067002296447754,0.0,0.5357360243797302,0.5357360243797302,1.0,0.3737792372703552,0.0,0.6677104830741882,0.0,0.0,0.5346699357032776,0.30668383836746216,0.13832692801952362,-0.0015497312415391207,277.31138134002686,True,,,6,da5db8db764748949d1fdc42ffb7320a,2021-11-06_04-55-34,1636163734,1650.2539038658142,307864,crimv3mgpu024,10.141.0.30,1650.2539038658142,0,6,"3_batch_size=128,bidirectional=True,cnn_kernel_size=2,cnn_layers=3,dropout_lin=0.83859,dropout_lstm=0.95211,hidden_dim=128,learning_rate=0.0076405,lstm_layers=1,lstm_output_dim=213,main_weight=0.85159,opt_step_size=4",0.007640517001679735,128,True,1,128,213,0.9521082971682907,0.8385942987399477,4,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.8515857240029309,3,2
1c480_00004,0.40613093972206116,0.47908005118370056,0.8174335360527039,0.8588520288467407,0.9073503613471985,0.8112339973449707,0.0,0.8680254817008972,0.0,0.0,0.8067002296447754,0.5405499339103699,0.7670101523399353,0.7298809885978699,0.8971123695373535,0.7612378597259521,0.0,0.6677104830741882,0.0,0.0,0.5346699357032776,0.2272544950246811,0.08199813216924667,0.40629640221595764,97.4332275390625,True,,,30,76606683fc404fbbb132e012fd955a36,2021-11-06_05-44-57,1636166697,2957.7274284362793,307863,crimv3mgpu024,10.141.0.30,2957.7274284362793,0,30,"4_batch_size=512,bidirectional=True,cnn_kernel_size=3,cnn_layers=3,dropout_lin=0.56573,dropout_lstm=0.28272,hidden_dim=8,learning_rate=4.2441e-05,lstm_layers=2,lstm_output_dim=203,main_weight=0.55598,opt_step_size=4",4.24409259955013e-05,512,True,2,8,203,0.28271957469118014,0.5657317700678932,4,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.5559769731667408,3,3
1c480_00005,0.40660664439201355,0.0,0.7551309466362,0.7551309466362,1.0,0.6497780084609985,0.0,0.868025541305542,0.0,0.0,0.8067002296447754,0.5090652704238892,0.7430923581123352,0.6927124261856079,0.9354042410850525,0.7296953797340393,0.0,0.6677104830741882,0.0,0.0,0.5346699357032776,0.26474592089653015,0.1054794117808342,0.23628123104572296,431.05973625183105,True,,,7,4ffdc5b00ebc4fb5aaf41abecfee477d,2021-11-06_06-35-29,1636169729,3022.989551782608,307847,crimv3mgpu024,10.141.0.30,3022.989551782608,0,7,"5_batch_size=32,bidirectional=False,cnn_kernel_size=2,cnn_layers=2,dropout_lin=0.77946,dropout_lstm=0.40884,hidden_dim=32,learning_rate=0.0015333,lstm_layers=1,lstm_output_dim=68,main_weight=0.050834,opt_step_size=12",0.0015332679826194084,32,False,1,32,68,0.40883888592472817,0.7794590869698591,12,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.05083439792716948,2,2
1c480_00006,0.36085987091064453,0.561317503452301,0.847867488861084,0.871113657951355,0.9371989369392395,0.8405709266662598,0.5341471433639526,0.9047601222991943,0.6991258263587952,0.4886331260204315,0.8973865509033203,0.5659351348876953,0.7800050377845764,0.7430216670036316,0.9009625315666199,0.7751963138580322,0.3977445065975189,0.751164972782135,0.7259939908981323,0.40340283513069153,0.7280141115188599,0.17811936140060425,0.06995806097984314,0.4934718906879425,167.47076892852783,True,,,30,e377cd48abe942ebb5806f5ab446d5bf,2021-11-06_07-59-42,1636174782,5043.883063793182,307860,crimv3mgpu024,10.141.0.30,5043.883063793182,0,30,"6_batch_size=128,bidirectional=False,cnn_kernel_size=10,cnn_layers=3,dropout_lin=0.18384,dropout_lstm=0.38518,hidden_dim=16,learning_rate=8.0123e-05,lstm_layers=1,lstm_output_dim=55,main_weight=0.68987,opt_step_size=5",8.01230020607139e-05,128,False,1,16,55,0.3851811995890354,0.18384129267239202,5,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.6898743266741285,3,10
1c480_00007,0.3679017424583435,0.538779079914093,0.8429076671600342,0.858201801776886,0.9487211108207703,0.8315871953964233,0.4875507950782776,0.8990877270698547,0.6987402439117432,0.4137538969516754,0.8876798152923584,0.5593547224998474,0.7694759964942932,0.7171329259872437,0.9407945275306702,0.7597327828407288,0.3758247494697571,0.7438142895698547,0.7337441444396973,0.3594706654548645,0.7143872380256653,0.1871551275253296,0.07396351546049118,0.46447059512138367,785.5387864112854,True,,,16,e0b76e44562f4c5aad6b97d760377d89,2021-11-06_11-29-15,1636187355,12564.488748311996,307857,crimv3mgpu024,10.141.0.30,12564.488748311996,0,16,"7_batch_size=16,bidirectional=False,cnn_kernel_size=8,cnn_layers=2,dropout_lin=0.35731,dropout_lstm=0.79549,hidden_dim=32,learning_rate=8.2547e-05,lstm_layers=1,lstm_output_dim=165,main_weight=0.28369,opt_step_size=13",8.254681858668286e-05,16,False,1,32,165,0.7954853984725797,0.35730733657835523,13,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.2836938185729896,2,8
1c480_00008,0.4302273392677307,0.3778409957885742,0.8024415373802185,0.8037511110305786,0.976905882358551,0.7629135847091675,0.0,0.8680254817008972,0.0,0.0,0.8067002296447754,0.5125305652618408,0.7580842971801758,0.7559792399406433,0.8098530173301697,0.7570592761039734,0.0,0.6677104830741882,0.0,0.0,0.5346699357032776,0.31058400869369507,0.1381259709596634,-9.469773067394271e-05,80.82895159721375,True,,,8,03de9ff59b6d47f6a5f38005c88c7264,2021-11-06_11-40-28,1636188028,664.0735487937927,307865,crimv3mgpu024,10.141.0.30,664.0735487937927,0,8,"8_batch_size=512,bidirectional=True,cnn_kernel_size=5,cnn_layers=1,dropout_lin=0.72603,dropout_lstm=0.13172,hidden_dim=64,learning_rate=0.039841,lstm_layers=1,lstm_output_dim=170,main_weight=0.21029,opt_step_size=8",0.03984093416812754,512,True,1,64,170,0.13171960134329075,0.7260349661745897,8,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.21029313477129752,1,5
1c480_00009,0.4042785167694092,0.4735344648361206,0.8262373805046082,0.8303481340408325,0.9675813317298889,0.8031569719314575,0.3578176200389862,0.887105405330658,0.7984746098518372,0.19337880611419678,0.8557435870170593,0.5433194041252136,0.7657443881034851,0.7218718528747559,0.9154532551765442,0.7581526041030884,0.22314924001693726,0.6961755752563477,0.817440390586853,0.11029598116874695,0.6072918772697449,0.24692405760288239,0.09030310809612274,0.3461645543575287,425.56856513023376,True,,,19,6bfcf488a2d842a1a81147a0cf1d7138,2021-11-06_13-53-22,1636196002,7968.854084014893,307858,crimv3mgpu024,10.141.0.30,7968.854084014893,0,19,"9_batch_size=32,bidirectional=True,cnn_kernel_size=7,cnn_layers=1,dropout_lin=0.70794,dropout_lstm=0.87801,hidden_dim=32,learning_rate=0.00119,lstm_layers=1,lstm_output_dim=116,main_weight=0.82015,opt_step_size=17",0.0011899724627675253,32,True,1,32,116,0.8780123098355406,0.7079448245638529,17,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.8201507126183281,1,7
